Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
2,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
3,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
4,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
5,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
6,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
7,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
8,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
9,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
10,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
11,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
12,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
13,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
14,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
15,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
16,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
17,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
18,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
19,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
20,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
21,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
22,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
23,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
24,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
25,"[0.658937, 1.058371]",[0.534764],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
